AARHUS: 0.0.1.2.3.4
AARON: 0.0.1.2.3
ABABA: 0.1.0.1.0
ABACK: 0.1.0.2.3
ABAFT: 0.1.0.2.3
ABANDON: 0.1.0.2.3.4.2
ABANDONED: 0.1.0.2.3.4.2.5.3
ABANDONING: 0.1.0.2.3.4.2.5.2.6
ABANDONMENT: 0.1.0.2.3.4.2.5.6.2.7
ABANDONS: 0.1.0.2.3.4.2.5
ABASE: 0.1.0.2.3
ABASED: 0.1.0.2.3.4
ABASEMENT: 0.1.0.2.3.4.3.5.6
ABASEMENTS: 0.1.0.2.3.4.3.5.6.2
ABASES: 0.1.0.2.3.2
ABASH: 0.1.0.2.3
ABASHED: 0.1.0.2.3.4.5
ABASHES: 0.1.0.2.3.4.2
ABASHING: 0.1.0.2.3.4.5.6
ABASING: 0.1.0.2.3.4.5
ABATE: 0.1.0.2.3
ABATED: 0.1.0.2.3.4
ABATEMENT: 0.1.0.2.3.4.3.5.2
ABATEMENTS: 0.1.0.2.3.4.3.5.2.6
ABATER: 0.1.0.2.3.4
ABATES: 0.1.0.2.3.4
ABATING: 0.1.0.2.3.4.5
ABBA: 0.1.1.0
ABBE: 0.1.1.2
ABBEY: 0.1.1.2.3
ABBEYS: 0.1.1.2.3.4
ABBOT: 0.1.1.2.3
ABBOTS: 0.1.1.2.3.4
ABBOTT: 0.1.1.2.3.3
ABBREVIATE: 0.1.1.2.3.4.5.0.6.3
ABBREVIATED: 0.1.1.2.3.4.5.0.6.3.7
ABBREVIATES: 0.1.1.2.3.4.5.0.6.3.7
ABBREVIATING: 0.1.1.2.3.4.5.0.6.5.7.8
ABBREVIATION: 0.1.1.2.3.4.5.0.6.5.7.8
ABBREVIATIONS: 0.1.1.2.3.4.5.0.6.5.7.8.9
ABBY: 0.1.1.2
ABDOMEN: 0.1.2.3.4.5.6
ABDOMENS: 0.1.2.3.4.5.6.7
ABDOMINAL: 0.1.2.3.4.5.6.0.7
ABDUCT: 0.1.2.3.4.5
ABDUCTED: 0.1.2.3.4.5.6.2
ABDUCTION: 0.1.2.3.4.5.6.7.8
ABDUCTIONS: 0.1.2.3.4.5.6.7.8.9
ABDUCTOR: 0.1.2.3.4.5.6.7
ABDUCTORS: 0.1.2.3.4.5.6.7.8
ABDUCTS: 0.1.2.3.4.5.6
ABE: 0.1.2
ABED: 0.1.2.3
ABEL: 0.1.2.3
ABELIAN: 0.1.2.3.4.0.5
ABELSON: 0.1.2.3.4.5.6
ABERDEEN: 0.1.2.3.4.2.2.5
ABERNATHY: 0.1.2.3.4.0.5.6.7
ABERRANT: 0.1.2.3.3.0.4.5
ABERRATION: 0.1.2.3.3.0.4.5.6.7
ABERRATIONS: 0.1.2.3.3.0.4.5.6.7.8
ABET: 0.1.2.3
ABETS: 0.1.2.3.4
ABETTED: 0.1.2.3.3.2.4
ABETTER: 0.1.2.3.3.2.4
ABETTING: 0.1.2.3.3.4.5.6
ABEYANCE: 0.1.2.3.0.4.5.2
ABHOR: 0.1.2.3.4
ABHORRED: 0.1.2.3.4.4.5.6
ABHORRENT: 0.1.2.3.4.4.5.6.7
ABHORRER: 0.1.2.3.4.4.5.4
ABHORRING: 0.1.2.3.4.4.5.6.7
ABHORS: 0.1.2.3.4.5
ABIDE: 0.1.2.3.4
ABIDED: 0.1.2.3.4.3
ABIDES: 0.1.2.3.4.5
ABIDING: 0.1.2.3.2.4.5
ABIDJAN: 0.1.2.3.4.0.5
ABIGAIL: 0.1.2.3.0.2.4
ABILENE: 0.1.2.3.4.5.4
ABILITIES: 0.1.2.3.2.4.2.5.6
ABILITY: 0.1.2.3.2.4.5
ABJECT: 0.1.2.3.4.5
ABJECTION: 0.1.2.3.4.5.6.7.8
ABJECTIONS: 0.1.2.3.4.5.6.7.8.9
ABJECTLY: 0.1.2.3.4.5.6.7
ABJECTNESS: 0.1.2.3.4.5.6.3.7.7
ABJURE: 0.1.2.3.4.5
ABJURED: 0.1.2.3.4.5.6
ABJURES: 0.1.2.3.4.5.6
ABJURING: 0.1.2.3.4.5.6.7
ABLATE: 0.1.2.0.3.4
ABLATED: 0.1.2.0.3.4.5
ABLATES: 0.1.2.0.3.4.5
ABLATING: 0.1.2.0.3.4.5.6
ABLATION: 0.1.2.0.3.4.5.6
ABLATIVE: 0.1.2.0.3.4.5.6
ABLAZE: 0.1.2.0.3.4
ABLE: 0.1.2.3
ABLER: 0.1.2.3.4
ABLEST: 0.1.2.3.4.5
ABLY: 0.1.2.3
ABNER: 0.1.2.3.4
ABNORMAL: 0.1.2.3.4.5.0.6
ABNORMALITIES: 0.1.2.3.4.5.0.6.7.8.7.9.10
ABNORMALITY: 0.1.2.3.4.5.0.6.7.8.9
ABNORMALLY: 0.1.2.3.4.5.0.6.6.7
ABO: 0.1.2
ABOARD: 0.1.2.0.3.4
ABODE: 0.1.2.3.4
ABODES: 0.1.2.3.4.5
ABOLISH: 0.1.2.3.4.5.6
ABOLISHED: 0.1.2.3.4.5.6.7.8
ABOLISHER: 0.1.2.3.4.5.6.7.8
ABOLISHERS: 0.1.2.3.4.5.6.7.8.5
ABOLISHES: 0.1.2.3.4.5.6.7.5
ABOLISHING: 0.1.2.3.4.5.6.4.7.8
ABOLISHMENT: 0.1.2.3.4.5.6.7.8.9.10
ABOLISHMENTS: 0.1.2.3.4.5.6.7.8.9.10.5
ABOLITION: 0.1.2.3.4.5.4.2.6
ABOLITIONIST: 0.1.2.3.4.5.4.2.6.4.7.5
ABOLITIONISTS: 0.1.2.3.4.5.4.2.6.4.7.5.7
ABOMINABLE: 0.1.2.3.4.5.0.1.6.7
ABOMINATE: 0.1.2.3.4.5.0.6.7
ABORIGINAL: 0.1.2.3.4.5.4.6.0.7
ABORIGINE: 0.1.2.3.4.5.4.6.7
ABORIGINES: 0.1.2.3.4.5.4.6.7.8
ABORT: 0.1.2.3.4
ABORTED: 0.1.2.3.4.5.6
ABORTING: 0.1.2.3.4.5.6.7
ABORTION: 0.1.2.3.4.5.2.6
ABORTIONS: 0.1.2.3.4.5.2.6.7
ABORTIVE: 0.1.2.3.4.5.6.7
ABORTIVELY: 0.1.2.3.4.5.6.7.8.9
ABORTS: 0.1.2.3.4.5
ABOS: 0.1.2.3
ABOUND: 0.1.2.3.4.5
ABOUNDED: 0.1.2.3.4.5.6.5
ABOUNDING: 0.1.2.3.4.5.6.4.7
ABOUNDS: 0.1.2.3.4.5.6
ABOUT: 0.1.2.3.4
ABOVE: 0.1.2.3.4
ABOVEBOARD: 0.1.2.3.4.1.2.0.5.6
ABOVEGROUND: 0.1.2.3.4.5.6.2.7.8.9
ABOVEMENTIONED: 0.1.2.3.4.5.4.6.7.8.2.6.4.9
ABRADE: 0.1.2.0.3.4
ABRADED: 0.1.2.0.3.4.3
ABRADES: 0.1.2.0.3.4.5
ABRADING: 0.1.2.0.3.4.5.6
ABRAHAM: 0.1.2.0.3.0.4
ABRAM: 0.1.2.0.3
ABRAMS: 0.1.2.0.3.4
ABRAMSON: 0.1.2.0.3.4.5.6
ABRASION: 0.1.2.0.3.4.5.6
ABRASIONS: 0.1.2.0.3.4.5.6.3
ABRASIVE: 0.1.2.0.3.4.5.6
ABREACTION: 0.1.2.3.0.4.5.6.7.8
ABREACTIONS: 0.1.2.3.0.4.5.6.7.8.9
ABREAST: 0.1.2.3.0.4.5
ABRIDGE: 0.1.2.3.4.5.6
ABRIDGED: 0.1.2.3.4.5.6.4
ABRIDGES: 0.1.2.3.4.5.6.7
ABRIDGING: 0.1.2.3.4.5.3.6.5
ABRIDGMENT: 0.1.2.3.4.5.6.7.8.9
ABROAD: 0.1.2.3.0.4
ABROGATE: 0.1.2.3.4.0.5.6
ABROGATED: 0.1.2.3.4.0.5.6.7
ABROGATES: 0.1.2.3.4.0.5.6.7
ABROGATING: 0.1.2.3.4.0.5.6.7.4
ABRUPT: 0.1.2.3.4.5
ABRUPTLY: 0.1.2.3.4.5.6.7
ABRUPTNESS: 0.1.2.3.4.5.6.7.8.8
ABSCESS: 0.1.2.3.4.2.2
ABSCESSED: 0.1.2.3.4.2.2.4.5
ABSCESSES: 0.1.2.3.4.2.2.4.2
ABSCISSA: 0.1.2.3.4.2.2.0
ABSCISSAS: 0.1.2.3.4.2.2.0.2
ABSCOND: 0.1.2.3.4.5.6
ABSCONDED: 0.1.2.3.4.5.6.7.6
ABSCONDING: 0.1.2.3.4.5.6.7.5.8
ABSCONDS: 0.1.2.3.4.5.6.2
ABSENCE: 0.1.2.3.4.5.3
ABSENCES: 0.1.2.3.4.5.3.2
ABSENT: 0.1.2.3.4.5
ABSENTED: 0.1.2.3.4.5.3.6
ABSENTEE: 0.1.2.3.4.5.3.3
ABSENTEEISM: 0.1.2.3.4.5.3.3.6.2.7
ABSENTEES: 0.1.2.3.4.5.3.3.2
ABSENTIA: 0.1.2.3.4.5.6.0
ABSENTING: 0.1.2.3.4.5.6.4.7
ABSENTLY: 0.1.2.3.4.5.6.7
ABSENTMINDED: 0.1.2.3.4.5.6.7.4.8.3.8
ABSENTS: 0.1.2.3.4.5.2
ABSINTHE: 0.1.2.3.4.5.6.7
ABSOLUTE: 0.1.2.3.4.5.6.7
ABSOLUTELY: 0.1.2.3.4.5.6.7.4.8
ABSOLUTENESS: 0.1.2.3.4.5.6.7.8.7.2.2
ABSOLUTES: 0.1.2.3.4.5.6.7.2
ABSOLUTION: 0.1.2.3.4.5.6.7.3.8
ABSOLVE: 0.1.2.3.4.5.6
ABSOLVED: 0.1.2.3.4.5.6.7
ABSOLVES: 0.1.2.3.4.5.6.2
ABSOLVING: 0.1.2.3.4.5.6.7.8
ABSORB: 0.1.2.3.4.1
ABSORBED: 0.1.2.3.4.1.5.6
ABSORBENCY: 0.1.2.3.4.1.5.6.7.8
ABSORBENT: 0.1.2.3.4.1.5.6.7
ABSORBER: 0.1.2.3.4.1.5.4
ABSORBING: 0.1.2.3.4.1.5.6.7
ABSORBS: 0.1.2.3.4.1.2
ABSORPTION: 0.1.2.3.4.5.6.7.3.8
ABSORPTIONS: 0.1.2.3.4.5.6.7.3.8.2
ABSORPTIVE: 0.1.2.3.4.5.6.7.8.9
ABSTAIN: 0.1.2.3.0.4.5
ABSTAINED: 0.1.2.3.0.4.5.6.7
ABSTAINER: 0.1.2.3.0.4.5.6.7
ABSTAINING: 0.1.2.3.0.4.5.4.5.6
ABSTAINS: 0.1.2.3.0.4.5.2
ABSTENTION: 0.1.2.3.4.5.3.6.7.5
ABSTENTIONS: 0.1.2.3.4.5.3.6.7.5.2
ABSTINENCE: 0.1.2.3.4.5.6.5.7.6
ABSTRACT: 0.1.2.3.4.0.5.3
ABSTRACTED: 0.1.2.3.4.0.5.3.6.7
ABSTRACTING: 0.1.2.3.4.0.5.3.6.7.8
ABSTRACTION: 0.1.2.3.4.0.5.3.6.7.8
ABSTRACTIONISM: 0.1.2.3.4.0.5.3.6.7.8.6.2.9
ABSTRACTIONIST: 0.1.2.3.4.0.5.3.6.7.8.6.2.3
ABSTRACTIONS: 0.1.2.3.4.0.5.3.6.7.8.2
ABSTRACTLY: 0.1.2.3.4.0.5.3.6.7
ABSTRACTNESS: 0.1.2.3.4.0.5.3.6.7.2.2
ABSTRACTOR: 0.1.2.3.4.0.5.3.6.4
ABSTRACTORS: 0.1.2.3.4.0.5.3.6.4.2
ABSTRACTS: 0.1.2.3.4.0.5.3.2
ABSTRUSE: 0.1.2.3.4.5.2.6
ABSTRUSENESS: 0.1.2.3.4.5.2.6.7.6.2.2
ABSURD: 0.1.2.3.4.5
ABSURDITIES: 0.1.2.3.4.5.6.7.6.8.2
ABSURDITY: 0.1.2.3.4.5.6.7.8
ABSURDLY: 0.1.2.3.4.5.6.7
ABU: 0.1.2
ABUNDANCE: 0.1.2.3.4.0.3.5.6
ABUNDANT: 0.1.2.3.4.0.3.5
ABUNDANTLY: 0.1.2.3.4.0.3.5.6.7
ABUSE: 0.1.2.3.4
ABUSED: 0.1.2.3.4.5
ABUSES: 0.1.2.3.4.3
ABUSING: 0.1.2.3.4.5.6
ABUSIVE: 0.1.2.3.4.5.6
ABUT: 0.1.2.3
ABUTMENT: 0.1.2.3.4.5.6.3
ABUTS: 0.1.2.3.4
ABUTTED: 0.1.2.3.3.4.5
ABUTTER: 0.1.2.3.3.4.5
ABUTTERS: 0.1.2.3.3.4.5.6
ABUTTING: 0.1.2.3.3.4.5.6
ABYSMAL: 0.1.2.3.4.0.5
ABYSMALLY: 0.1.2.3.4.0.5.5.2
ABYSS: 0.1.2.3.3
ABYSSES: 0.1.2.3.3.4.3
ABYSSINIA: 0.1.2.3.3.4.5.4.0
ABYSSINIAN: 0.1.2.3.3.4.5.4.0.5
ABYSSINIANS: 0.1.2.3.3.4.5.4.0.5.3
ACACIA: 0.1.0.1.2.0
ACADEMIA: 0.1.0.2.3.4.5.0
ACADEMIC: 0.1.0.2.3.4.5.1
ACADEMICALLY: 0.1.0.2.3.4.5.1.0.6.6.7
ACADEMICS: 0.1.0.2.3.4.5.1.6
ACADEMIES: 0.1.0.2.3.4.5.3.6
ACADEMY: 0.1.0.2.3.4.5
ACADIA: 0.1.0.2.3.0
ACAPULCO: 0.1.0.2.3.4.1.5
ACCEDE: 0.1.1.2.3.2
ACCEDED: 0.1.1.2.3.2.3
ACCEDES: 0.1.1.2.3.2.4
ACCELERATE: 0.1.1.2.3.2.4.0.5.2
ACCELERATED: 0.1.1.2.3.2.4.0.5.2.6
ACCELERATES: 0.1.1.2.3.2.4.0.5.2.6
ACCELERATING: 0.1.1.2.3.2.4.0.5.6.7.8
ACCELERATION: 0.1.1.2.3.2.4.0.5.6.7.8
